DateTime,source,target,value
11/22/2012 19:16,75,25,3
11/22/2012 20:50,75,48,1
11/23/2012 5:58,75,41,1
1/20/2013 10:07,75,70,1
1/24/2013 10:59,75,71,1
1/24/2013 11:01,76,64,1
1/24/2013 11:41,76,65,1
2/4/2013 11:19,76,66,1
2/5/2013 12:16,76,63,1
2/5/2013 12:46,76,62,1
2/5/2013 12:48,76,48,1
2/5/2013 13:39,76,58,1
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
